trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-223841-001-000-138,O-20260308-223917-001-000-139,BUY,FLAT,0,1,1773009521537721710,2026-03-08 22:38:41.537721710+00:00,1773009557589948660,2026-03-08 22:39:17.589948660+00:00,36052226950,6686.25,6686.75,['0.00 USD'],7e-05,0.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-223938-001-000-141,O-20260308-223958-001-000-142,SELL,FLAT,0,1,1773009578058137344,2026-03-08 22:39:38.058137344+00:00,1773009598658161997,2026-03-08 22:39:58.658161997+00:00,20600024653,6687.0,6685.75,['0.00 USD'],0.00019,1.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-224012-001-000-144,O-20260308-224042-001-000-145,BUY,FLAT,0,1,1773009612275126057,2026-03-08 22:40:12.275126057+00:00,1773009642963542450,2026-03-08 22:40:42.963542450+00:00,30688416393,6685.25,6686.5,['0.00 USD'],0.00019,1.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-224042-001-000-146,O-20260308-224121-001-000-147,SELL,FLAT,0,1,1773009642963542450,2026-03-08 22:40:42.963542450+00:00,1773009681309552976,2026-03-08 22:41:21.309552976+00:00,38346010526,6686.5,6684.75,['0.00 USD'],0.00026,1.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-224121-001-000-148,O-20260308-224144-001-000-149,BUY,FLAT,0,1,1773009681309552976,2026-03-08 22:41:21.309552976+00:00,1773009704194192848,2026-03-08 22:41:44.194192848+00:00,22884639872,6684.75,6685.0,['0.00 USD'],4e-05,0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-224144-001-000-150,O-20260308-224240-001-000-151,SELL,FLAT,0,1,1773009704194192848,2026-03-08 22:41:44.194192848+00:00,1773009760244536280,2026-03-08 22:42:40.244536280+00:00,56050343432,6685.0,6685.0,['0.00 USD'],0.0,0.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-224240-001-000-152,O-20260308-224329-001-000-153,BUY,FLAT,0,1,1773009760244536280,2026-03-08 22:42:40.244536280+00:00,1773009809161136912,2026-03-08 22:43:29.161136912+00:00,48916600632,6685.0,6685.25,['0.00 USD'],4e-05,0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-224329-001-000-154,O-20260308-224434-001-000-155,SELL,FLAT,0,1,1773009809161136912,2026-03-08 22:43:29.161136912+00:00,1773009874716368525,2026-03-08 22:44:34.716368525+00:00,65555231613,6685.25,6682.0,['0.00 USD'],0.00049,3.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-224434-001-000-156,O-20260308-224619-001-000-157,BUY,FLAT,0,1,1773009874716368525,2026-03-08 22:44:34.716368525+00:00,1773009979544408488,2026-03-08 22:46:19.544408488+00:00,104828039963,6682.0,6688.25,['0.00 USD'],0.00094,6.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-224619-001-000-158,O-20260308-224742-001-000-159,SELL,FLAT,0,1,1773009979544408488,2026-03-08 22:46:19.544408488+00:00,1773010062873851839,2026-03-08 22:47:42.873851839+00:00,83329443351,6688.25,6688.25,['0.00 USD'],0.0,0.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-224742-001-000-160,O-20260308-224841-001-000-161,BUY,FLAT,0,1,1773010062873851839,2026-03-08 22:47:42.873851839+00:00,1773010121441692250,2026-03-08 22:48:41.441692250+00:00,58567840411,6688.25,6690.0,['0.00 USD'],0.00026,1.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-224841-001-000-162,O-20260308-225127-001-000-163,SELL,FLAT,0,1,1773010121441692250,2026-03-08 22:48:41.441692250+00:00,1773010287694579584,2026-03-08 22:51:27.694579584+00:00,166252887334,6690.0,6686.25,['0.00 USD'],0.00056,3.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-225127-001-000-164,O-20260308-225232-001-000-165,BUY,FLAT,0,1,1773010287694579584,2026-03-08 22:51:27.694579584+00:00,1773010352817699623,2026-03-08 22:52:32.817699623+00:00,65123120039,6686.25,6687.75,['0.00 USD'],0.00022,1.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-225232-001-000-166,O-20260308-225246-001-000-167,SELL,FLAT,0,1,1773010352817699623,2026-03-08 22:52:32.817699623+00:00,1773010366402007547,2026-03-08 22:52:46.402007547+00:00,13584307924,6687.75,6685.75,['0.00 USD'],0.0003,2.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-225246-001-000-168,O-20260308-225316-001-000-169,BUY,FLAT,0,1,1773010366402007547,2026-03-08 22:52:46.402007547+00:00,1773010396238120960,2026-03-08 22:53:16.238120960+00:00,29836113413,6685.75,6686.0,['0.00 USD'],4e-05,0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-225316-001-000-170,O-20260308-225328-001-000-171,SELL,FLAT,0,1,1773010396238120960,2026-03-08 22:53:16.238120960+00:00,1773010408970674445,2026-03-08 22:53:28.970674445+00:00,12732553485,6686.0,6686.75,['0.00 USD'],-0.00011,-0.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-225328-001-000-172,O-20260308-225419-001-000-173,BUY,FLAT,0,1,1773010408970674445,2026-03-08 22:53:28.970674445+00:00,1773010459377962131,2026-03-08 22:54:19.377962131+00:00,50407287686,6686.75,6688.5,['0.00 USD'],0.00026,1.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-225419-001-000-174,O-20260308-225451-001-000-175,SELL,FLAT,0,1,1773010459377962131,2026-03-08 22:54:19.377962131+00:00,1773010491932607520,2026-03-08 22:54:51.932607520+00:00,32554645389,6688.5,6686.25,['0.00 USD'],0.00034,2.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-225451-001-000-176,O-20260308-225510-001-000-177,BUY,FLAT,0,1,1773010491932607520,2026-03-08 22:54:51.932607520+00:00,1773010510113903779,2026-03-08 22:55:10.113903779+00:00,18181296259,6686.25,6688.75,['0.00 USD'],0.00037,2.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-225510-001-000-178,O-20260308-225602-001-000-179,SELL,FLAT,0,1,1773010510113903779,2026-03-08 22:55:10.113903779+00:00,1773010562924886677,2026-03-08 22:56:02.924886677+00:00,52810982898,6688.75,6686.5,['0.00 USD'],0.00034,2.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-225602-001-000-180,O-20260308-225634-001-000-181,BUY,FLAT,0,1,1773010562924886677,2026-03-08 22:56:02.924886677+00:00,1773010594981532891,2026-03-08 22:56:34.981532891+00:00,32056646214,6686.5,6686.75,['0.00 USD'],4e-05,0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-225634-001-000-182,O-20260308-225741-001-000-183,SELL,FLAT,0,1,1773010594981532891,2026-03-08 22:56:34.981532891+00:00,1773010661258245608,2026-03-08 22:57:41.258245608+00:00,66276712717,6686.75,6683.25,['0.00 USD'],0.00052,3.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-225741-001-000-184,O-20260308-230004-001-000-185,BUY,FLAT,0,1,1773010661258245608,2026-03-08 22:57:41.258245608+00:00,1773010804890508709,2026-03-08 23:00:04.890508709+00:00,143632263101,6683.25,6694.0,['0.00 USD'],0.00161,10.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-230004-001-000-186,O-20260308-230042-001-000-187,SELL,FLAT,0,1,1773010804890508709,2026-03-08 23:00:04.890508709+00:00,1773010842706578259,2026-03-08 23:00:42.706578259+00:00,37816069550,6694.0,6691.75,['0.00 USD'],0.00034,2.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-230042-001-000-188,O-20260308-230045-001-000-189,BUY,FLAT,0,1,1773010842706578259,2026-03-08 23:00:42.706578259+00:00,1773010845539320020,2026-03-08 23:00:45.539320020+00:00,2832741761,6691.75,6692.5,['0.00 USD'],0.00011,0.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-230045-001-000-190,O-20260308-230255-001-000-191,SELL,FLAT,0,1,1773010845539320020,2026-03-08 23:00:45.539320020+00:00,1773010975477532023,2026-03-08 23:02:55.477532023+00:00,129938212003,6692.5,6688.5,['0.00 USD'],0.0006,4.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-230255-001-000-192,O-20260308-230409-001-000-193,BUY,FLAT,0,1,1773010975477532023,2026-03-08 23:02:55.477532023+00:00,1773011049550407905,2026-03-08 23:04:09.550407905+00:00,74072875882,6688.5,6692.0,['0.00 USD'],0.00052,3.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-230409-001-000-194,O-20260308-230454-001-000-195,SELL,FLAT,0,1,1773011049550407905,2026-03-08 23:04:09.550407905+00:00,1773011094587562055,2026-03-08 23:04:54.587562055+00:00,45037154150,6692.0,6690.25,['0.00 USD'],0.00026,1.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-230454-001-000-196,O-20260308-230543-001-000-197,BUY,FLAT,0,1,1773011094587562055,2026-03-08 23:04:54.587562055+00:00,1773011143310561811,2026-03-08 23:05:43.310561811+00:00,48722999756,6690.25,6690.25,['0.00 USD'],0.0,0.00 USD,True
